Latitude,Longitude,Name,Address,Operating_Hours,Waze
3.080121,101.638012,Subway Matahari Mall,"Lot S15 & S16 , Ground Floor, Matahari Mall, No. 1, PJS 2/18, Taman Maju Jaya, 46000 Petaling Jaya,Selangor",Monday - Sunday (10:00AM - 9:30PM),"https://waze.com/ul?ll=3.080121,101.638012"
3.082778,101.702471,Subway SPARK,"1-01 Plaza Salak Park, No 2, Jalan 1/125E, Taman Desa Petaling, 57100 Kuala Lumpur",Monday - Sunday (8:00AM - 10:00PM),"https://waze.com/ul?ll=3.082778,101.702471"
3.072606,101.607723,Subway Sunway Pyramid,"LG2.32, Lower Ground Two, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/pj/subway-sunway-pyramid?place=ChIJm21YdodMzDERFtdyEMzPHLI
3.047098,101.704403,Subway Caltex Serdang,"No.2, Lot.14985, Jalan SR 8/1, Taman Putra Indah, 43300, Seri Kembangan, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM","https://waze.com/ul?ll=3.047098,101.704403"
3.178129,101.547335,Subway Subang Bestari,"No 4, Jalan Nova N U5/N, Seksyen U5, 40150 Shah Alam, Selangor","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/subway-subang-bestari-jalan-nova-u5n-4-shah-alam?place=w.66519072.665518398.26851094
3.161212,101.511881,Subway Denai Alam,"Unit Ground Floor, No 7, Jalan Electron E U16/E, Seksyen U16, 40160 Shah Alam,Selangor","Monday - Sunday, 8:15 AM - 9:45 PM",https://www.waze.com/en/live-map/directions/my/selangor/shah-alam/subway-denai-alam?place=ChIJ-3Els5pRzDERJRqqSNFklxg
3.125925,101.728399,Subway Aeon Taman Maluri,"Lot G32,AEON Mall Taman Maluri, Jalan Jejaka, Taman Maluri Cheras 55100, Kuala Lumpur","Sunday - Thursday, 10:00 AM – 10:00PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/cheras/subway-aeon-taman-maluri?place=ChIJxZc1CgI3zDER0L07egWJ6A4
3.148819,101.545546,Subway Subang Perdana,"No. 17-G, Jalan Dinar D U3/D, Seksyen U3, 40150 Shah Alam, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/subang-jaya/subway-subang-perdana?place=ChIJ4cb8F1BPzDERwkdC9tagYg0
3.114111,101.663270,Subway KL Gateway,"G1.K5, Lower Ground 1, KL Gateway Mall, 2, Jalan Kerinchi, 59200 Kuala Lumpur",Monday - Sunday (8:00AM - 10:00PM),https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-kl-gateway-mall?place=ChIJ1cy2C85JzDERxEe6xZaRRyg
3.222777,101.670945,Subway Lotuss Selayang,"Lot F-18 & 18 (External) No. 1081, Jalan Ipoh Mukim Batu 51200 Kuala Lumpur",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.222777,101.670945"
